name,artist,id,popularity,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
A Sky Full of Stars,Coldplay,0FDzzruyVECATHXKHFs9eJ,85,pop,0.545,0.675,6,-6.474,1,0.0279,0.00617,0.00197,0.209,0.162,124.97,audio_features,spotify:track:0FDzzruyVECATHXKHFs9eJ,https://api.spotify.com/v1/tracks/0FDzzruyVECATHXKHFs9eJ,https://api.spotify.com/v1/audio-analysis/0FDzzruyVECATHXKHFs9eJ,267867,4
Call Out My Name,The Weeknd,1gm616Plq4ScqNi7TVkZ5N,0,pop,0.489,0.598,1,-4.929,1,0.036,0.218,0.0,0.35,0.172,134.045,audio_features,spotify:track:1gm616Plq4ScqNi7TVkZ5N,https://api.spotify.com/v1/tracks/1gm616Plq4ScqNi7TVkZ5N,https://api.spotify.com/v1/audio-analysis/1gm616Plq4ScqNi7TVkZ5N,228373,3
Cool Girl,Tove Lo,3tJ4y2Zqx6gM9xOAuFfsSF,59,pop,0.674,0.694,9,-7.076,0,0.109,0.313,7.17e-06,0.0752,0.203,101.993,audio_features,spotify:track:3tJ4y2Zqx6gM9xOAuFfsSF,https://api.spotify.com/v1/tracks/3tJ4y2Zqx6gM9xOAuFfsSF,https://api.spotify.com/v1/audio-analysis/3tJ4y2Zqx6gM9xOAuFfsSF,199179,4
Love U Better (feat. Lil Wayne & The-Dream),Ty Dolla $ign,270aLuFCbX32hhBr8MQyPM,48,pop,0.645,0.541,10,-6.312,0,0.0385,0.0802,0.0,0.325,0.411,95.061,audio_features,spotify:track:270aLuFCbX32hhBr8MQyPM,https://api.spotify.com/v1/tracks/270aLuFCbX32hhBr8MQyPM,https://api.spotify.com/v1/audio-analysis/270aLuFCbX32hhBr8MQyPM,181880,4
You & Me,Marc E. Bassy,7yCqehT9dKACTFy7YugP0J,56,pop,0.449,0.635,1,-8.301,1,0.275,0.0413,0.0,0.188,0.608,84.414,audio_features,spotify:track:7yCqehT9dKACTFy7YugP0J,https://api.spotify.com/v1/tracks/7yCqehT9dKACTFy7YugP0J,https://api.spotify.com/v1/audio-analysis/7yCqehT9dKACTFy7YugP0J,218493,4
M.I.L.F. $,Fergie,3osQ5lSSqZb8HWRozdbVPw,0,pop,0.773,0.706,0,-5.709,1,0.0999,0.00538,0.0148,0.0208,0.693,160.912,audio_features,spotify:track:3osQ5lSSqZb8HWRozdbVPw,https://api.spotify.com/v1/tracks/3osQ5lSSqZb8HWRozdbVPw,https://api.spotify.com/v1/audio-analysis/3osQ5lSSqZb8HWRozdbVPw,162365,4
Are You With Me - Radio Edit,Lost Frequencies,2glGP8kEfACgJdZ86kWxhN,65,pop,0.763,0.608,5,-8.1,0,0.035,0.262,2.5e-05,0.12,0.393,121.02,audio_features,spotify:track:2glGP8kEfACgJdZ86kWxhN,https://api.spotify.com/v1/tracks/2glGP8kEfACgJdZ86kWxhN,https://api.spotify.com/v1/audio-analysis/2glGP8kEfACgJdZ86kWxhN,138013,4
lovely (with Khalid),Billie Eilish,0u2P5u6lvoDfwTYjAADbn4,86,pop,0.351,0.296,4,-10.109,0,0.0333,0.934,0.0,0.095,0.12,115.284,audio_features,spotify:track:0u2P5u6lvoDfwTYjAADbn4,https://api.spotify.com/v1/tracks/0u2P5u6lvoDfwTYjAADbn4,https://api.spotify.com/v1/audio-analysis/0u2P5u6lvoDfwTYjAADbn4,200186,4
Night Changes,One Direction,5O2P9iiztwhomNh8xkR9lJ,90,pop,0.672,0.52,8,-7.747,1,0.0353,0.859,0.0,0.115,0.37,120.001,audio_features,spotify:track:5O2P9iiztwhomNh8xkR9lJ,https://api.spotify.com/v1/tracks/5O2P9iiztwhomNh8xkR9lJ,https://api.spotify.com/v1/audio-analysis/5O2P9iiztwhomNh8xkR9lJ,226600,4
Please Don't Go,Joel Adams,3cNjgVBKTJ1SvKhunrCdVy,64,pop,0.513,0.768,4,-4.868,0,0.0587,0.0118,1.94e-05,0.294,0.235,84.264,audio_features,spotify:track:3cNjgVBKTJ1SvKhunrCdVy,https://api.spotify.com/v1/tracks/3cNjgVBKTJ1SvKhunrCdVy,https://api.spotify.com/v1/audio-analysis/3cNjgVBKTJ1SvKhunrCdVy,210580,4
How Long Will I Love You - Bonus Track,Ellie Goulding,0ZPfDxZn5O0L84wvPSN2iG,45,pop,0.512,0.304,0,-9.19,1,0.0318,0.295,0.000622,0.118,0.172,126.078,audio_features,spotify:track:0ZPfDxZn5O0L84wvPSN2iG,https://api.spotify.com/v1/tracks/0ZPfDxZn5O0L84wvPSN2iG,https://api.spotify.com/v1/audio-analysis/0ZPfDxZn5O0L84wvPSN2iG,154435,5
